movie_name,release_year,certificate,duration,genre,star,metascore,votes
Hello Charlie,2021,not rated,102 min,Comedy,5.6,nil,"3,179"
Why Did You Kill Me?,2021,TV-MA,83 min,"Documentary, Crime",5.6,nil,"3,175"
 Superman and Lois,2021– ,TV-PG,64 min,"Action, Adventure, Drama",8.7,nil,"3,157"
This Is a Robbery: The World's Greatest Art Heist,2021,TV-MA,210 min,"Documentary, Crime, History",6.5,nil,"3,150"
Save Ralph,2021,not rated,4 min,"Animation, Short",8.6,nil,"3,150"
Bloodlands,2021,not rated,222 min,"Crime, Drama, Thriller",6.5,nil,"3,146"
Calls,2021– ,TV-MA,12 min,"Drama, Horror, Mystery",7.8,nil,"3,143"
 Cobra Kai,2018– ,TV-14,39 min,"Action, Comedy, Drama",9.2,nil,"3,135"
Uppena,2021,TV-14,147 min,"Action, Drama, Romance",6.8,nil,"3,125"
Crashh,2021– ,not rated,23 min,Romance,9.0,nil,"3,121"
The Box,V 2021,not rated,94 min,"Drama, Music, Musical",8.8,nil,"3,118"
 Mare of Easttown,2021,TV-MA,64 min,"Crime, Drama, Mystery",9.1,nil,"3,105"
Chakra,2021,Not Rated,131 min,"Action, Crime, Thriller",7.0,nil,"3,085"
Silk Road,2021,R,112 min,"Crime, Drama, Thriller",5.9,41        ,"3,074"
In the Earth,2021,R,107 min,"Horror, Sci-Fi, Thriller",5.2,63        ,"3,074"
Age of Samurai: Battle for Japan,2021– ,TV-MA,nil,"Documentary, Action, Adventure",7.4,nil,"3,064"
 Lupin,2021– ,TV-MA,47 min,"Action, Crime, Drama",7.9,nil,"3,060"
 Star Wars: The Bad Batch,2021– ,TV-PG,31 min,"Animation, Action, Adventure",7.5,nil,"3,022"
Baggio: The Divine Ponytail,2021,TV-MA,91 min,"Biography, Drama, Sport",6.1,nil,"3,016"
Runaway Lugaai,2021– ,not rated,25 min,"Comedy, Drama",7.8,nil,"2,965"
Tina,2021,TV-MA,118 min,"Documentary, Biography, History",8.1,81        ,"2,951"
 Lucifer,2016– ,TV-14,53 min,"Crime, Drama, Fantasy",9.4,nil,"2,928"
Konusanlar,2021– ,not rated,50 min,"Comedy, Talk-Show",6.8,nil,"2,925"
Major Grom: Plague Doctor,2021,not rated,136 min,"Action, Adventure",6.5,nil,"2,919"
Bhoomi,II 2021,TV-PG,128 min,"Action, Drama",5.0,nil,"2,914"
Marvel Studios: Legends,2021– ,TV-14,7 min,"Action, Fantasy, Sci-Fi",6.5,nil,"2,895"
Good on Paper,2021,R,92 min,"Comedy, Romance",5.6,54        ,"2,890"
Q: Into the Storm,2021,TV-MA,353 min,Documentary,7.6,nil,"2,808"
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.7,nil,"2,802"
 Cobra Kai,2018– ,TV-14,32 min,"Action, Comedy, Drama",8.2,nil,"2,791"
Tunna blå linjen,2021– ,Not Rated,60 min,"Crime, Drama",8.2,nil,"2,788"
First Signal,2021,not rated,102 min,"Drama, History, Sci-Fi",7.0,nil,"2,786"
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.7,nil,"2,783"
 Mare of Easttown,2021,TV-MA,60 min,"Crime, Drama, Mystery",8.3,nil,"2,776"
Law & Order: Organized Crime,2021– ,TV-14,nil,"Crime, Drama, Mystery",7.6,nil,"2,775"
 Mare of Easttown,2021,TV-MA,56 min,"Crime, Drama, Mystery",8.4,nil,"2,741"
 Shadow and Bone,2021– ,TV-14,52 min,"Action, Adventure, Drama",7.8,nil,"2,720"
Ray,2021– ,TV-14,65 min,"Crime, Drama, Thriller",7.9,nil,"2,720"
Mr. Mayor,2021– ,TV-PG,22 min,Comedy,6.3,nil,"2,713"
Roberrt,2021,not rated,166 min,"Action, Comedy, Musical",6.7,nil,"2,687"
"Crack: Cocaine, Corruption & Conspiracy",2021,TV-MA,89 min,"Documentary, Crime, History",6.7,nil,"2,685"
 The Expanse,2015– ,TV-14,56 min,"Drama, Mystery, Sci-Fi",8.7,nil,"2,679"
 Cobra Kai,2018– ,TV-14,30 min,"Action, Comedy, Drama",8.9,nil,"2,678"
 Mare of Easttown,2021,TV-MA,57 min,"Crime, Drama, Mystery",8.8,nil,"2,665"
 Star Trek: Discovery,2017– ,TV-14,62 min,"Action, Adventure, Drama",6.3,nil,"2,664"
Kala,2021,not rated,130 min,Thriller,6.9,nil,"2,654"
Breaking News in Yuba County,2021,R,96 min,"Comedy, Crime, Drama",5.7,24        ,"2,634"
 Cobra Kai,2018– ,TV-14,36 min,"Action, Comedy, Drama",8.6,nil,"2,616"
Xtreme,2021,TV-MA,111 min,"Action, Crime, Drama",5.7,nil,"2,602"
 Cobra Kai,2018– ,TV-14,38 min,"Action, Comedy, Drama",8.3,nil,"2,602"
Marvel's M.O.D.O.K.,2021– ,TV-MA,22 min,"Animation, Action, Comedy",6.3,nil,"2,563"
Vanquish,2021,R,94 min,"Action, Crime, Thriller",2.7,22        ,"2,557"
Together Together,2021,R,90 min,Comedy,6.5,72        ,"2,554"
Operation Java,2021,not rated,146 min,"Crime, Drama, Thriller",8.3,nil,"2,551"
Great White,2021,not rated,91 min,"Horror, Thriller",3.9,nil,"2,545"
Son,2021,Not Rated,98 min,"Horror, Thriller",5.5,52        ,"2,535"
The Devil Below,2021,not rated,88 min,"Horror, Thriller",4.2,nil,"2,524"
Tribhanga,2021,TV-MA,95 min,"Drama, Family",6.1,nil,"2,523"
Madame Claude,2021,TV-MA,112 min,"Biography, Crime, Drama",5.4,nil,"2,523"
 Lucifer,2016– ,TV-14,63 min,"Crime, Drama, Fantasy",9.5,nil,"2,522"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.6,nil,"2,493"
The Misfits,2021,R,94 min,"Action, Adventure, Thriller",4.1,25        ,"2,492"
Secret Magic Control Agency,2021,TV-Y7,103 min,"Animation, Adventure, Comedy",6.2,nil,"2,481"
 Cobra Kai,2018– ,TV-14,32 min,"Action, Comedy, Drama",8.0,nil,"2,476"
 Lupin,2021– ,TV-MA,52 min,"Action, Crime, Drama",7.8,nil,"2,468"
Irul,2021,not rated,91 min,"Mystery, Thriller",5.8,nil,"2,463"
Generation,2021– ,TV-MA,nil,"Comedy, Drama",6.5,nil,"2,462"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.4,nil,"2,457"
Country Comfort,2021– ,TV-PG,nil,"Comedy, Drama, Family",6.9,nil,"2,447"
 Star Wars: The Bad Batch,2021– ,TV-PG,28 min,"Animation, Action, Adventure",7.9,nil,"2,438"
Squared Love,2021,TV-14,102 min,"Comedy, Romance",5.0,nil,"2,410"
 Lucifer,2016– ,TV-14,58 min,"Crime, Drama, Fantasy",8.4,nil,"2,402"
The Djinn,2021,R,82 min,"Horror, Thriller",4.7,61        ,"2,399"
 Cobra Kai,2018– ,TV-14,34 min,"Action, Comedy, Drama",8.5,nil,"2,397"
Big Shot,2021– ,TV-PG,nil,"Comedy, Drama, Sport",7.5,nil,"2,395"
 Cobra Kai,2018– ,TV-14,28 min,"Action, Comedy, Drama",8.5,nil,"2,390"
Rurouni Kenshin: Final Chapter Part I - The Final,2021,not rated,138 min,"Action, Adventure, Drama",7.3,nil,"2,371"
Love Scandals & Doctors,2021– ,not rated,20 min,Thriller,8.9,nil,"2,363"
The Year Earth Changed,2021,TV-PG,48 min,Documentary,8.3,nil,"2,360"
 Doctor Who,2005– ,TV-PG,71 min,"Adventure, Drama, Family",5.9,nil,"2,348"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.5,nil,"2,345"
 Lucifer,2016– ,TV-14,55 min,"Crime, Drama, Fantasy",8.5,nil,"2,328"
Teddy,II 2021,TV-PG,136 min,"Animation, Action, Adventure",6.6,nil,"2,328"
 Cobra Kai,2018– ,TV-14,29 min,"Action, Comedy, Drama",8.3,nil,"2,319"
 Shadow and Bone,2021– ,TV-14,52 min,"Action, Adventure, Drama",7.8,nil,"2,313"
 Euphoria,2019– ,TV-MA,49 min,Drama,8.8,nil,"2,290"
 The Handmaid's Tale,2017– ,TV-MA,62 min,"Drama, Sci-Fi, Thriller",8.7,nil,"2,286"
Vitthal Teedi,2021– ,not rated,185 min,Drama,9.5,nil,"2,285"
Happily,2021,R,96 min,"Comedy, Crime, Romance",5.3,58        ,"2,281"
 Shadow and Bone,2021– ,TV-14,58 min,"Action, Adventure, Drama",8.7,nil,"2,269"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"2,255"
 Lupin,2021– ,TV-MA,42 min,"Action, Crime, Drama",7.6,nil,"2,247"
 The Expanse,2015– ,TV-14,54 min,"Drama, Mystery, Sci-Fi",7.6,nil,"2,235"
Kaadan,2021,not rated,170 min,"Action, Drama, Fantasy",9.1,nil,"2,233"
Resident Evil Village,2021 Video Game,M,nil,"Action, Adventure, Fantasy",8.9,nil,"2,211"
Bling Empire,2021– ,TV-MA,38 min,Reality-TV,5.8,nil,"2,208"
22 vs. Earth,2021,not rated,9 min,"Animation, Short, Adventure",6.5,nil,"2,195"
 Lupin,2021– ,TV-MA,43 min,"Action, Crime, Drama",7.7,nil,"2,176"
Rebel,2021,TV-14,nil,"Crime, Drama",7.0,nil,"2,174"
 Lupin,2021– ,TV-MA,47 min,"Action, Crime, Drama",7.6,nil,"2,168"
 The Frog,2020–2021,Not Rated,44 min,"Crime, Drama, Mystery",8.5,nil,"2,153"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"2,148"
 The Expanse,2015– ,TV-14,48 min,"Drama, Mystery, Sci-Fi",8.0,nil,"2,148"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.7,nil,"2,143"
 Shadow and Bone,2021– ,TV-14,48 min,"Action, Adventure, Drama",7.9,nil,"2,140"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.8,nil,"2,140"
Sir Alex Ferguson: Never Give In,2021,PG-13,130 min,Documentary,8.4,68        ,"2,134"
The Way of the Househusband,2021– ,TV-14,16 min,"Animation, Action, Comedy",7.3,nil,"2,132"
 The Frog,2020–2021,Not Rated,46 min,"Crime, Drama, Mystery",8.5,nil,"2,125"
One,II 2021,not rated,151 min,"Drama, Thriller",6.6,nil,"2,122"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.6,nil,"2,115"
Oslo,2021 TV Movie,TV-MA,118 min,"Drama, History, Thriller",6.6,54        ,"2,112"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.8,nil,"2,111"
 Line of Duty,2012– ,TV-14,57 min,"Crime, Drama, Mystery",5.4,nil,"2,099"
Sijipeuseu: The Myth,2021– ,Not Rated,70 min,"Action, Drama, Fantasy",7.1,nil,"2,099"
 Star Wars: The Bad Batch,2021– ,TV-PG,26 min,"Animation, Action, Adventure",7.6,nil,"2,097"
We Children from Bahnhof Zoo,2021,Not Rated,nil,Drama,6.3,nil,"2,097"
 Young Rock,2021– ,TV-PG,nil,Comedy,9.0,nil,"2,096"
Recalled,2021,not rated,99 min,"Drama, Mystery, Thriller",6.9,nil,"2,095"
Eeswaran,2021,Not Rated,130 min,"Action, Drama",4.7,nil,"2,086"
To Your Eternity,2021– ,not rated,25 min,"Animation, Adventure, Drama",9.1,nil,"2,083"
Censor,2021,not rated,84 min,Horror,5.8,67        ,"2,070"
 Shadow and Bone,2021– ,TV-14,45 min,"Action, Adventure, Drama",8.6,nil,"2,065"
Skater Girl,2021,PG,107 min,"Drama, Family, Sport",6.7,nil,"2,059"
 Superman and Lois,2021– ,TV-PG,44 min,"Action, Adventure, Drama",8.4,nil,"2,054"
Kung Fu,2021– ,TV-14,nil,"Action, Adventure, Drama",5.0,nil,"2,053"
Alma Matters - Inside the IIT Dream,2021,not rated,150 min,Documentary,8.6,nil,"2,053"
 Boruto: Naruto Next Generations,2017– ,TV-14,24 min,"Animation, Action, Adventure",9.7,nil,"2,048"
Move to Heaven,2021– ,TV-MA,60 min,Drama,8.7,nil,"2,048"
 Boruto: Naruto Next Generations,2017– ,TV-14,24 min,"Animation, Action, Adventure",9.7,nil,"2,047"
 Shadow and Bone,2021– ,TV-14,51 min,"Action, Adventure, Drama",8.1,nil,"2,043"
Solos,2021– ,TV-14,185 min,"Drama, Fantasy, Sci-Fi",5.6,nil,"2,028"
 South Park,1997– ,TV-MA,46 min,"Animation, Comedy",7.5,nil,"2,016"
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",2.6,nil,"2,015"
The Lost Pirate Kingdom,2021– ,TV-MA,nil,"Documentary, Adventure, Drama",6.6,nil,"2,011"
Peter Rabbit 2: The Runaway,2021,PG,93 min,"Animation, Adventure, Comedy",6.2,43        ,"2,009"
Nezha Reborn,2021,not rated,118 min,"Animation, Action, Fantasy",6.9,nil,"2,007"
 The Frog,2020–2021,Not Rated,50 min,"Crime, Drama, Mystery",7.9,nil,"2,005"
 Castlevania,2017–2021,TV-MA,31 min,"Animation, Action, Adventure",9.8,nil,"1,997"
Word of Honor,2021– ,TV-14,45 min,"Action, Drama, Fantasy",9.2,nil,"1,997"
 The Frog,2020–2021,Not Rated,44 min,"Crime, Drama, Mystery",8.3,nil,"1,995"
"Batman: The Long Halloween, Part One",2021 Video,PG-13,85 min,"Animation, Action, Crime",7.6,nil,"1,994"
The Power,II 2021,not rated,92 min,Horror,5.6,60        ,"1,993"
Infinitum: Subject Unknown,2021,not rated,86 min,Sci-Fi,5.5,nil,"1,992"
 The Expanse,2015– ,TV-14,52 min,"Drama, Mystery, Sci-Fi",7.8,nil,"1,980"
" Re: Zero, Starting Life in Another World",2016– ,TV-14,30 min,"Animation, Adventure, Drama",9.8,nil,"1,975"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.6,nil,"1,964"
Kid 90,2021,TV-MA,71 min,"Documentary, Biography, History",6.9,67        ,"1,957"
 The Frog,2020–2021,Not Rated,46 min,"Crime, Drama, Mystery",7.7,nil,"1,949"
 The Frog,2020–2021,Not Rated,47 min,"Crime, Drama, Mystery",7.8,nil,"1,946"
The Great Escapists,2021– ,TV-14,nil,"Documentary, Adventure, Comedy",5.7,nil,"1,943"
 Your Honor,2020–2021,TV-MA,59 min,"Crime, Drama, Thriller",7.3,nil,"1,937"
 Shadow and Bone,2021– ,TV-14,54 min,"Action, Adventure, Drama",8.2,nil,"1,929"
Payback,2021,not rated,91 min,Thriller,6.0,nil,"1,927"
Life in Colour,2021– ,TV-PG,59 min,Documentary,8.3,nil,"1,927"
Record of Ragnarok,2021– ,TV-14,24 min,"Animation, Action, Adventure",6.2,nil,"1,904"
 Lucifer,2016– ,TV-14,53 min,"Crime, Drama, Fantasy",8.6,nil,"1,902"
 The Expanse,2015– ,TV-14,51 min,"Drama, Mystery, Sci-Fi",8.1,nil,"1,900"
 The Handmaid's Tale,2017– ,TV-MA,58 min,"Drama, Sci-Fi, Thriller",9.0,nil,"1,893"
B.A. Pass 3,2021,not rated,136 min,"Drama, Romance",8.2,nil,"1,890"
 Star Wars: The Bad Batch,2021– ,TV-PG,27 min,"Animation, Action, Adventure",8.6,nil,"1,887"
 Star Wars: The Bad Batch,2021– ,TV-PG,23 min,"Animation, Action, Adventure",7.4,nil,"1,887"
Jeet Ki Zid,2021– ,not rated,40 min,"Action, Drama",8.5,nil,"1,886"
Wild Dog,2021,TV-MA,145 min,"Action, Adventure, Crime",6.3,nil,"1,880"
 Shadow and Bone,2021– ,TV-14,52 min,"Action, Adventure, Drama",8.4,nil,"1,879"
 The Frog,2020–2021,Not Rated,48 min,"Crime, Drama, Mystery",8.0,nil,"1,875"
Coyote,2021– ,TV-MA,290 min,"Crime, Drama, Thriller",6.8,nil,"1,875"
 The Frog,2020–2021,Not Rated,48 min,"Crime, Drama, Mystery",7.6,nil,"1,873"
 Fear the Walking Dead,2015– ,TV-MA,51 min,"Drama, Horror, Sci-Fi",8.0,nil,"1,873"
The Yinyang Master,2021,not rated,113 min,"Action, Adventure, Drama",6.4,nil,"1,873"
Marasli,2021– ,not rated,120 min,Drama,8.0,nil,"1,871"
 Lucifer,2016– ,TV-14,59 min,"Crime, Drama, Fantasy",9.0,nil,"1,870"
 The Handmaid's Tale,2017– ,TV-MA,54 min,"Drama, Sci-Fi, Thriller",8.1,nil,"1,867"
Cinema Bandi,2021,not rated,98 min,"Comedy, Drama",8.1,nil,"1,858"
Last Chance U: Basketball,2021– ,TV-MA,nil,"Documentary, Sport",8.4,nil,"1,856"
Nizhal,2021,Not Rated,118 min,"Drama, Mystery, Thriller",6.4,nil,"1,849"
 The Frog,2020–2021,Not Rated,54 min,"Crime, Drama, Mystery",7.7,nil,"1,846"
Every Breath You Take,2021,R,105 min,"Drama, Mystery, Thriller",5.2,32        ,"1,839"
 The Frog,2020–2021,Not Rated,45 min,"Crime, Drama, Mystery",7.8,nil,"1,837"
Gibi,2021– ,not rated,30 min,Comedy,8.5,nil,"1,832"
 Star Wars: The Bad Batch,2021– ,TV-PG,21 min,"Animation, Action, Adventure",7.3,nil,"1,831"
The Seventh Day,2021,R,87 min,"Horror, Mystery",4.4,43        ,"1,825"
Born a Champion,2021,R,112 min,"Action, Drama, Sport",7.0,nil,"1,816"
Mai Hero Boll Raha Hu,2021– ,not rated,nil,"Action, Thriller",8.9,nil,"1,811"
 The Frog,2020–2021,Not Rated,52 min,"Crime, Drama, Mystery",7.9,nil,"1,808"
 The Frog,2020–2021,Not Rated,53 min,"Crime, Drama, Mystery",7.6,nil,"1,808"
Red,I 2021,TV-14,146 min,"Action, Crime, Drama",6.6,nil,"1,806"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.3,nil,"1,805"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.2,nil,"1,793"
 Star Wars: The Bad Batch,2021– ,TV-PG,24 min,"Animation, Action, Adventure",9.1,nil,"1,779"
 Resident Alien,2021– ,TV-14,47 min,"Comedy, Drama, Mystery",8.3,nil,"1,776"
Bir Yeralti Sitcom'u,2021– ,not rated,nil,Comedy,7.4,nil,"1,770"
Tokyo Revengers,2021– ,TV-14,24 min,"Animation, Action, Drama",8.6,nil,"1,768"
 Lucifer,2016– ,TV-14,61 min,"Crime, Drama, Fantasy",8.5,nil,"1,764"
The Pursuit of Love,2021– ,not rated,nil,"Drama, Romance",6.6,nil,"1,746"
The Soul,2021,not rated,130 min,"Drama, Mystery, Sci-Fi",6.7,nil,"1,745"
Trese,2021– ,TV-MA,33 min,"Animation, Action, Adventure",7.2,nil,"1,744"
Mouse,2021– ,not rated,80 min,"Action, Crime, Mystery",8.7,nil,"1,742"
The Great North,2021– ,TV-14,21 min,"Animation, Comedy",6.5,nil,"1,735"
 Young Rock,2021– ,TV-14,nil,Comedy,8.7,nil,"1,719"
LOL: Last One Laughing Germany,2021– ,not rated,nil,"Comedy, Reality-TV",7.8,nil,"1,717"
 The Frog,2020–2021,Not Rated,71 min,"Crime, Drama, Mystery",7.3,nil,"1,702"
Zombie Reddy,2021,not rated,130 min,"Action, Comedy, Horror",7.0,nil,"1,701"
Exterminate All the Brutes,2021,TV-MA,232 min,"Documentary, History",6.8,nil,"1,698"
A Perfect Planet,2021,TV-PG,245 min,Documentary,9.1,nil,"1,691"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.3,nil,"1,687"
Dude,2021– ,not rated,32 min,"Drama, Mystery, Thriller",9.3,nil,"1,682"
Too Close,2021,not rated,143 min,"Crime, Drama, Thriller",6.7,nil,"1,674"
 Superman and Lois,2021– ,TV-PG,43 min,"Action, Adventure, Drama",8.3,nil,"1,672"
Wonder Egg Priority,2021– ,TV-MA,23 min,"Animation, Action, Drama",8.2,nil,"1,667"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.1,nil,"1,661"
 Fear the Walking Dead,2015– ,TV-MA,48 min,"Drama, Horror, Sci-Fi",6.2,nil,"1,660"
Twist,2021,R,90 min,"Action, Drama",4.0,nil,"1,660"
Doors,2021,not rated,84 min,Sci-Fi,3.3,nil,"1,657"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.5,nil,"1,655"
 Fear the Walking Dead,2015– ,TV-MA,51 min,"Drama, Horror, Sci-Fi",8.5,nil,"1,651"
Tenkuu Shinpan,2021– ,TV-MA,25 min,"Animation, Action, Horror",6.7,nil,"1,642"
The Pact,2021– ,not rated,nil,Thriller,6.8,nil,"1,642"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",8.5,nil,"1,638"
Homunculus,2021,TV-MA,115 min,"Drama, Fantasy, Mystery",5.6,nil,"1,637"
Starstruck,2021– ,not rated,30 min,Comedy,7.7,nil,"1,637"
 The Handmaid's Tale,2017– ,TV-MA,41 min,"Drama, Sci-Fi, Thriller",7.7,nil,"1,627"
The Upshaws,2021– ,TV-14,nil,Comedy,6.9,nil,"1,620"
Cypher,2021– ,not rated,nil,"Action, Crime, Drama",6.5,nil,"1,610"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.6,nil,"1,610"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",7.3,nil,"1,606"
 When Calls the Heart,2014– ,TV-G,nil,"Drama, Family, Romance",5.0,nil,"1,604"
 The Handmaid's Tale,2017– ,TV-MA,47 min,"Drama, Sci-Fi, Thriller",8.8,nil,"1,601"
Gaali Sampath,2021,not rated,130 min,Drama,7.4,nil,"1,600"
Douluo Continent,2021– ,not rated,38 min,"Action, Fantasy, Horror",9.0,nil,"1,600"
Domina,2021– ,not rated,nil,"Drama, History",6.9,nil,"1,599"
 The Handmaid's Tale,2017– ,TV-MA,48 min,"Drama, Sci-Fi, Thriller",8.2,nil,"1,593"
Nenjam Marappathillai,2021,not rated,150 min,"Horror, Thriller",6.4,nil,"1,590"
Surviving Death,2021– ,TV-MA,50 min,"Documentary, Reality-TV",6.1,nil,"1,585"
 Black Clover,2017–2021,TV-14,24 min,"Animation, Action, Adventure",9.6,nil,"1,582"
 Walker,2021– ,TV-PG,42 min,"Action, Crime, Drama",6.8,nil,"1,570"
Men in Kilts: A Roadtrip with Sam and Graham,2021– ,TV-14,nil,"Documentary, Comedy, Reality-TV",8.8,nil,"1,567"
Plan B,II 2021,TV-MA,107 min,Comedy,6.7,74        ,"1,566"
Leonardo,2021– ,Not Rated,nil,"Biography, Drama, History",7.1,nil,"1,560"
 The Handmaid's Tale,2017– ,TV-MA,45 min,"Drama, Sci-Fi, Thriller",8.3,nil,"1,559"
Indori Ishq,2021– ,not rated,25 min,"Comedy, Drama, Romance",7.4,nil,"1,558"
Demi Lovato: Dancing with the Devil,2021,TV-14,94 min,"Documentary, Music",8.2,nil,"1,558"
One Small Story,2021,not rated,134 min,"Comedy, Drama",7.4,nil,"1,554"
The Power,I 2021,not rated,153 min,"Action, Crime, Drama",5.7,nil,"1,554"
Just Say Yes,2021,TV-MA,97 min,"Comedy, Romance",4.5,nil,"1,553"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.4,nil,"1,552"
Bad President,2021,not rated,90 min,"Comedy, Fantasy",5.2,nil,"1,552"
 The Handmaid's Tale,2017– ,TV-MA,47 min,"Drama, Sci-Fi, Thriller",8.0,nil,"1,550"
Dad Stop Embarrassing Me!,2021,TV-PG,25 min,"Comedy, Family",4.2,nil,"1,546"
 Jupiter's Legacy,2021,TV-MA,47 min,"Action, Adventure, Drama",7.2,nil,"1,538"
 Young Rock,2021– ,TV-PG,nil,Comedy,8.6,nil,"1,532"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",5.4,nil,"1,531"
Redo of Healer,2021– ,TV-MA,24 min,"Animation, Action, Adventure",6.3,nil,"1,519"
Paradise City,2021– ,TV-MA,nil,"Drama, Fantasy, Music",6.9,nil,"1,508"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",8.9,nil,"1,508"
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,2021,TV-MA,104 min,Documentary,6.6,56        ,"1,506"
 The Rookie,2018– ,TV-14,nil,"Comedy, Crime, Drama",4.1,nil,"1,503"
Grahan,I 2021– ,not rated,nil,"Action, Drama, Thriller",8.8,nil,"1,499"
 Your Honor,2020–2021,TV-MA,54 min,"Crime, Drama, Thriller",8.3,nil,"1,497"
Intergalactic,2021– ,Not Rated,nil,"Drama, Sci-Fi",4.1,nil,"1,494"
 Young Rock,2021– ,TV-14,24 min,Comedy,7.8,nil,"1,491"
The Drowning,2021,not rated,nil,"Drama, Mystery, Thriller",5.5,nil,"1,488"
SK8 the Infinity,2021– ,not rated,nil,"Animation, Adventure, Comedy",8.2,nil,"1,487"
 For All Mankind,2019– ,TV-MA,76 min,"Drama, Sci-Fi",9.6,nil,"1,484"
Lisey's Story,2021,TV-MA,nil,"Drama, Horror, Mystery",5.9,nil,"1,482"
Dogu,2021– ,not rated,nil,Comedy,7.4,nil,"1,482"
Saat Kadam,2021– ,not rated,120 min,"Drama, Sport",8.5,nil,"1,480"
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.8,nil,"1,480"
The Me You Can't See,2021– ,TV-MA,nil,Documentary,5.2,nil,"1,478"
Frank of Ireland,2021– ,TV-MA,nil,Comedy,6.7,nil,"1,477"
Narco Sub,2021,R,93 min,"Action, Crime, Drama",6.4,nil,"1,476"
Kathmandu Connection,2021– ,not rated,nil,"Action, Crime, Thriller",5.8,nil,"1,465"
30 Rojullo Preminchadam Ela?,2021,not rated,143 min,Romance,7.5,nil,"1,465"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"1,458"
Kevin Can F**k Himself,2021– ,TV-MA,nil,"Comedy, Drama",6.3,nil,"1,455"
 The Nevers,2021– ,TV-MA,64 min,"Action, Drama, Fantasy",7.8,nil,"1,441"
Know Fear,2021,not rated,77 min,Horror,5.5,nil,"1,435"
Fake Famous,2021 TV Movie,TV-MA,87 min,Documentary,6.6,nil,"1,432"
Pixar Popcorn,2021– ,TV-PG,19 min,"Animation, Short, Comedy",6.6,nil,"1,432"
 Young Rock,2021– ,TV-14,nil,Comedy,8.4,nil,"1,430"
 Superman and Lois,2021– ,TV-PG,44 min,"Action, Adventure, Drama",8.1,nil,"1,428"
 Shameless,2011–2021,TV-MA,50 min,"Comedy, Drama",6.0,nil,"1,420"
 Racket Boys,2021– ,not rated,86 min,"Comedy, Drama, Sport",1.0,nil,"1,416"
Climax,2021,not rated,80 min,Thriller,8.1,nil,"1,413"
 Batwoman,2019– ,TV-14,42 min,"Action, Adventure, Crime",4.3,nil,"1,413"
Madam Chief Minister,2021,TV-14,130 min,Drama,4.6,nil,"1,409"
iCarly,2021– ,TV-14,26 min,"Comedy, Drama, Family",7.3,nil,"1,407"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",8.6,nil,"1,405"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.5,nil,"1,402"
Home Economics,2021– ,TV-PG,30 min,Comedy,6.2,nil,"1,401"
Girls5eva,2021– ,TV-MA,nil,"Comedy, Music",7.2,nil,"1,401"
 Fear the Walking Dead,2015– ,TV-MA,45 min,"Drama, Horror, Sci-Fi",7.5,nil,"1,388"
 Castlevania,2017–2021,TV-MA,31 min,"Animation, Action, Adventure",9.6,nil,"1,387"
Zebra Girl,2021,not rated,79 min,"Mystery, Thriller",7.1,nil,"1,386"
Secrets of Sinauli,2021,not rated,56 min,"Documentary, History",9.3,nil,"1,386"
Finding Alice,2021– ,Not Rated,46 min,"Comedy, Drama",5.7,nil,"1,384"
Vellam,I 2021,not rated,154 min,"Biography, Drama",7.7,nil,"1,376"
 Anne Boleyn,2021– ,not rated,nil,Drama,6.9,nil,"1,375"
